Name,Team,Number,Position,Age,Height,Weight,College,Salary
Avery Bradley,Boston Celtics,0,PG,25,6-2,180,Texas,7.730337e+06
Jae Crowder,Boston Celtics,99,SF,25,6-6,235,Marquette,6.796117e+06
John Holland,Boston Celtics,30,SG,27,6-5,205,Boston University,NaN
R.J. Hunter,Boston Celtics,28,SG,22,6-5,185,Georgia State,1.14864e+06
Jonas Jerebko,Boston Celtics,8,PF,29,6-10,231,,5e+06
Amir Johnson,Boston Celtics,90,PF,29,6-9,240,,1.2e+07
Jordan Mickey,Boston Celtics,55,PF,21,6-8,235,LSU,1.17096e+06
Kelly Olynyk,Boston Celtics,41,C,25,7-0,238,Gonzaga,2.16516e+06
Terry Rozier,Boston Celtics,12,PG,22,6-2,190,Louisville,1.82436e+06
Marcus Smart,Boston Celtics,36,PG,22,6-4,220,Oklahoma State,3.43104e+06
Jared Sullinger,Boston Celtics,7,C,24,6-9,260,Ohio State,2.56926e+06
Isaiah Thomas,Boston Celtics,4,PG,27,5-9,185,Washington,6.912869e+06
Evan Turner,Boston Celtics,11,SG,27,6-7,220,Ohio State,3.42551e+06
James Young,Boston Celtics,13,SG,20,6-6,215,Kentucky,1.74984e+06
Tyler Zeller,Boston Celtics,44,C,26,7-0,253,North Carolina,2.616975e+06
Bojan Bogdanovic,Brooklyn Nets,44,SG,27,6-8,216,,3.42551e+06
Markel Brown,Brooklyn Nets,22,SG,24,6-3,190,Oklahoma State,845059
Wayne Ellington,Brooklyn Nets,21,SG,28,6-4,200,North Carolina,1.5e+06
Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,6-7,220,Arizona,1.33548e+06
Jarrett Jack,Brooklyn Nets,2,PG,32,6-3,200,Georgia Tech,6.3e+06
Sergey Karasev,Brooklyn Nets,10,SG,22,6-7,208,,1.59984e+06
Sean Kilpatrick,Brooklyn Nets,6,SG,26,6-4,219,Cincinnati,134215
Shane Larkin,Brooklyn Nets,0,PG,23,5-11,175,Miami (FL),1.5e+06
Brook Lopez,Brooklyn Nets,11,C,28,7-0,275,Stanford,1.9689e+07
Chris McCullough,Brooklyn Nets,1,PF,21,6-11,200,Syracuse,1.14024e+06
Willie Reed,Brooklyn Nets,33,PF,26,6-10,220,Saint Louis,947276
